fecha,hora,clase_evento,lugar,latitud,longitud,Vehículo 1 - fase,Vehículo 1 - tipo,Vehículo 1 - experimental,Vehículo 1 - marca,Vehículo 1 - modelo,Vehículo 1 - matricula,Vehículo 1 - suceso,Vehículo 1 - investigacion,Vehículo 1 - operacion,Vehículo 1 - danios,Vehículo 1 - categoria,Vehículo 2 - fase,Vehículo 2 - tipo,Vehículo 2 - experimental,Vehículo 2 - marca,Vehículo 2 - modelo,Vehículo 2 - matricula,Vehículo 2 - suceso,Vehículo 2 - investigacion,Vehículo 2 - operacion,Vehículo 2 - danios,Vehículo 2 - categoria,Vehículo 2 - dominio,Vehículo 2 - categoria_servicios
2000-02-12,19:30,,Aeródromo San Martin (Mendoza),-33.05972222222222,-68.5075,Aterrizaje,Avión,False,PIPER,PA-11,LV-YNS,Accidente,True,Non-Commercial Operations,Leves,"ARC (Abnormal runway contact), RE (Runway Excursion)",,,,,,,,,,,,,
2000-02-11,13:45,,Aeropuerto Aeroparque Jorge Newbery (Sabe) (Buenos Aires),-34.55888888888889,-58.41638888888889,Despegue,Avión,False,FAIRCHILD,F-SA-226-TC,LQ-MLV,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), LOC-G (Loss of control -ground), RE (Runway Excursion)",,,,,,,,,,,,,
2000-02-10,23:45,,Aeropuerto Gral. M. M. De Guemes (Sasa) (Salta),-24.860555555555557,-65.47611111111111,Aterrizaje,Avión,False,BOEING,B-737,LV-JMX,Accidente,True,Commercial Air Transport,Leves,LOC-G (Loss of control -ground),,,,,,,,,,,,,
2000-02-09,22:10,,Zona rural Monte Cristo (Cordoba),0,0,Maniobras,Avión,False,PIPER,PA-25-235,LV-OAJ,Accidente,True,Specialised Operations,Destruida,"F-POST (Fire/smoke Post-Impact), LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
2000-02-04,19:45,,Aeródromo Benavidez (Buenos Aires),0,0,Aterrizaje,Avión,False,PIPER,PA-11,LV-NMX,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), SCF-PP (Powerplant failure or malfunction)",,,,,,,,,,,,,
2000-02-02,22:35,,Zona rural Juan Lavalle (Chaco),-27.150277777777777,-60.85,Maniobras,Avión,False,CESSNA,C-188-B,LV-LYP,Accidente,True,Specialised Operations,De importancia,"SCF-PP (Powerplant failure or malfunction), LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
2000-01-30,16:10,,Zona rural Bragado (Buenos Aires),-35.09444444444445,-60.39472222222222,Maniobras,Avión,False,PIPER,PA-38-112,LV-ONT,Accidente,True,Non-Commercial Operations,Destruida,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
2000-01-28,12:45,,Zona rural Carrilobo (Cordoba),0,0,Maniobras,Avión,False,CESSNA,A-182-J,LV-ITR,Accidente,True,Specialised Operations,De importancia,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
2000-01-27,00:00,,Aeródromo Don Torcuato (Buenos Aires),-34.49777777777778,-58.605555555555554,Crucero,Avión,False,CESSNA,C-182,LV-IZH,Intervención,False,Non-Commercial Operations,Leves,"ARC (Abnormal runway contact), SCF-NP (System/component failure or malfunction (No Powerplant)",,,,,,,,,,,,,
2000-01-25,13:37,,Zona rural Federal (Entre Rios),0,0,Maniobras,Avión,False,PIPER,PA-25-150,LV-IAD,Accidente,True,Specialised Operations,De importancia,"AMAN (Abrupt Maneuvre), LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
2000-01-24,11:40,,Paraje A 3 Mn De La Isla Martin Garcia (Buenos Aires),-34.18861111111111,-58.25,Crucero,Avión,False,CESSNA,C-150-H,LV-JIS,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), SCF-PP (Powerplant failure or malfunction)",,,,,,,,,,,,,
2000-01-22,14:30,,Aeropuerto San Fernando (Buenos Aires),-34.455000000000005,-58.59138888888889,Aterrizaje,Avión,False,CESSNA,C-170,LV-FDY,Accidente,True,Non-Commercial Operations,Leves,"SCF-NP (System/component failure or malfunction (No Powerplant), RE (Runway Excursion)",,,,,,,,,,,,,
2000-01-22,12:55,,Zona rural San Rafael (Mendoza),0,0,Aterrizaje,Avión,False,CESSNA,C-172-N,LV-WRY,Accidente,True,Specialised Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), FUEL (Fuel related)",,,,,,,,,,,,,
2000-01-14,22:05,,Aeródromo Rio Tercero (Cordoba),-32.17333333333333,-64.08833333333332,Rodaje salida,Avión,False,PIPER,PA-38,LV-MOH,Accidente,True,Non-Commercial Operations,De importancia,ADRM (Aerodrome),,,,,,,,,,,,,
1999-12-30,21:40,,Zona rural Santa Rosa De Río Primero (Cordoba),0,0,Maniobras,Avión,False,PIPER,PA-11-C,LV-NSV,Accidente,True,Specialised Operations,Destruida,"F-POST (Fire/smoke Post-Impact), LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-12-30,20:30,,Aeródromo Escobar (Buenos Aires),-34.30027777777777,-58.79611111111111,Ascenso,Avión,False,CESSNA,C-150,LV-JIP,Accidente,True,Non-Commercial Operations,De importancia,"AMAN (Abrupt Maneuvre), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-12-12,21:43,,Aeropuerto El Plumerillo (Mendoza),-32.83166666666667,-68.79277777777777,Aterrizaje,Avión,False,AERO BOERO,115-AB,LV-AYV,Accidente,True,Non-Commercial Operations,De importancia,"ARC (Abnormal runway contact), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-11-25,20:35,,Zona rural Lago San Roque (Villa Carlos Paz) (Cordoba),0,0,Crucero,Helicóptero,False,BELL,B-206-B,LV-RMA,Accidente,True,Specialised Operations,Destruida,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-11-22,19:15,,Localidad Ubajay (Entre Rios),-31.753055555555555,-58.36611111111111,Aterrizaje,Avión,False,AIR TRACTOR,AT-401-B,LV-YBU,Accidente,True,Specialised Operations,Leves,"CTOL (Collision with obstacle during take-off and landing), ARC (Abnormal runway contact)",,,,,,,,,,,,,
1999-11-06,23:05,,Aeródromo Coronel Olmedo (Cordoba),-31.482777777777777,-64.15083333333334,Aterrizaje,Avión,False,AERO BOERO,115-AB,LV-JXR,Accidente,True,Non-Commercial Operations,De importancia,"ARC (Abnormal runway contact), AMAN (Abrupt Maneuvre)",,,,,,,,,,,,,
1999-11-05,19:00,,Aeródromo Las Varillas (Cordoba),-31.904722222222222,-62.70527777777778,Despegue,Avión,False,PIPER,PA-11,LV-YRU,Accidente,True,Non-Commercial Operations,De importancia,LOC-G (Loss of control -ground),,,,,,,,,,,,,
1999-10-29,19:00,,Paraje Indio Muerto (Mendoza),-33.60111111111111,-69.38194444444444,Aproximación,Planeador,False,SCHEMPP HIRTH,Cirrus-75 VTC,LV-DNL,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), ARC (Abnormal runway contact), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-10-28,14:45,,Aeródromo Villa Regina (Rio Negro),0,0,Aterrizaje,Avión,False,CESSNA,C-414,LV-JPZ,Accidente,True,Non-Commercial Operations,De importancia,"ADRM (Aerodrome), USOS (Undershoot/overshoot)",,,,,,,,,,,,,
1999-10-04,22:30,,Zona rural Bariloche (Rio Negro),-41.39055555555556,-71.26666666666667,Crucero,Helicóptero,False,BELL,B-430,LV-ZPV,Accidente,True,Commercial Air Transport,Destruida,"CFIT (Controlled fligth into or toward terrain), UIMC (Unintended Flight in IMC)",,,,,,,,,,,,,
1999-10-03,17:00,,Zona rural San Luis (San Luis),-33.344722222222224,-66.35388888888889,Maniobras,ULM experimental,True,VARIOS,LASER,SIN MATRIC,Accidente,True,Non-Commercial Operations,Destruida,"SCF-PP (Powerplant failure or malfunction), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-09-29,17:30,,Localidad Benavidez (Buenos Aires),0,0,Crucero,Avión,False,CESSNA,C-150-L,LV-LFL,Accidente,True,Non-Commercial Operations,Leves,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,,,
1999-09-21,15:51,,"Aeropuerto Ushuaia (Tierra Del Fuego, Antártida E Islas Del Atlántico Sur)",-54.843333333333334,-68.29583333333333,Rodaje a plataforma,Avión,False,FAIRCHILD,F-SA-227-AC-METRO III,LV-WTE,Accidente,True,Commercial Air Transport,De importancia,"LOC-G (Loss of control -ground), RE (Runway Excursion)",,,,,,,,,,,,,
1999-09-11,21:33,,Aeropuerto El Plumerillo (Mendoza),-32.83166666666667,-68.79277777777777,Aterrizaje,Motoplaneador,False,SCHEMPP HIRTH,Nimbus 3DM,LV-ELO,Accidente,True,Non-Commercial Operations,Leves,ARC (Abnormal runway contact),,,,,,,,,,,,,
1999-09-02,15:00,,Zona rural Rawson (Buenos Aires),-43.60472222222222,-66.52388888888889,Crucero,Avión,False,LUSCOMBE,8-E,LV-RUM,Accidente,True,Non-Commercial Operations,De importancia,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,,,
1999-08-31,23:54,,Aeropuerto Aeroparque Jorge Newbery (Sabe) (Buenos Aires),-34.55888888888889,-58.41638888888889,Despegue,Avión,False,BOEING,B-737-204,LV-WRZ,Accidente,True,Commercial Air Transport,Destruida,"CABIN (Cabin safety events), F-POST (Fire/smoke Post-Impact), RE (Runway Excursion)",,,,,,,,,,,,,
1999-08-14,21:32,,Localidad Isidro Casanova (Buenos Aires),-34.73277777777778,-58.60055555555556,Aproximación,Avión,False,PIPER,PA-11,LV-RSU,Accidente,True,Non-Commercial Operations,De importancia,"ARC (Abnormal runway contact), SCF-PP (Powerplant failure or malfunction)",,,,,,,,,,,,,
1999-08-14,14:52,,Aeródromo San Justo (Buenos Aires),-34.73277777777778,-58.60055555555556,Aterrizaje,Avión,False,CESSNA,C-205,LV-IFI,Accidente,True,Non-Commercial Operations,De importancia,ARC (Abnormal runway contact),,,,,,,,,,,,,
1999-08-11,21:25,,Aeródromo La Matanza (Buenos Aires),-34.73277777777778,-58.50055555555556,Aterrizaje,Avión,False,PIPER,PA-11-C,LV-XTD,Accidente,True,Non-Commercial Operations,De importancia,"ARC (Abnormal runway contact), LOC-G (Loss of control -ground), RE (Runway Excursion)",,,,,,,,,,,,,
1999-08-04,10:45,,Localidad General San Martín (Chaco),0,0,Aterrizaje,Avión,False,PIPER,PA-32-300,ZP-TLH,Accidente,True,Non-Commercial Operations,De importancia,OTHR (Other),,,,,,,,,,,,,
1999-08-03,14:20,,Aeródromo Coronel Pringles (Buenos Aires),0,0,Aterrizaje,Avión,False,CESSNA,C-150,LV-HBY,Accidente,True,Non-Commercial Operations,De importancia,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,,,
1999-08-01,21:00,,Aeródromo General Belgrano (Salta),0,0,Rodaje a plataforma,Avión,False,AERO BOERO,AB-180-RVR,LV-ASJ,Accidente,True,Specialised Operations,De importancia,GCOL (Ground Collision),Estacionado,Avión,False,PIPER,PA-28-140,LV-LHB,Accidente,True,Non-Commercial Operations,De importancia,GCOL (Ground Collision),,
1999-07-30,14:05,,Zona rural Los Amores (Santa Fe),0,0,Crucero,Helicóptero,False,AGUSTA,A-109-A,LV-WJC,Accidente,True,Non-Commercial Operations,De importancia,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,,,
1999-07-25,21:15,,Aeródromo Tandil (Buenos Aires),0,0,Aproximación,Ultraliviano,False,FLYER,GT,LV-U364,Accidente,True,Non-Commercial Operations,Destruida,"AMAN (Abrupt Maneuvre), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-07-22,21:15,,Aeródromo Villa Regina (Rio Negro),-39.06638888888889,-67.0675,Aterrizaje,Avión,False,PIPER,PA-24-250,LV-GSG,Accidente,True,Non-Commercial Operations,De importancia,"ADRM (Aerodrome), CTOL (Collision with obstacle during take-off and landing)",,,,,,,,,,,,,
